onset_s,duration_s,label
611.288,6.0,paired
629.287,6.0,paired
649.287,6.0,paired
673.287,6.0,paired
693.186,6.0,paired
712.186,6.0,paired
736.185,6.0,paired
756.085,6.0,paired
774.085,6.0,paired
795.758,6.0,sound_only
816.084,6.0,paired
838.983,6.0,paired
858.983,6.0,paired
880.982,6.0,paired
901.982,6.0,paired
923.882,6.0,paired
946.881,6.0,paired
965.881,6.0,paired
983.88,6.0,paired
998.371,6.0,sound_only
1023.78,6.0,paired
1047.779,6.0,paired
1067.679,6.0,paired
1085.678,6.0,paired
1105.678,6.0,paired
1127.677,6.0,paired
1148.577,6.0,paired
1166.577,6.0,paired
1190.576,6.0,paired
1207.235,6.0,sound_only
1232.475,6.0,paired
1250.475,6.0,paired
1269.475,6.0,paired
1287.474,6.0,paired
1309.374,6.0,paired
1333.373,6.0,paired
1351.373,6.0,paired
1371.373,6.0,paired
1394.272,6.0,paired
1415.068,6.0,sound_only
1440.271,6.0,paired
1460.271,6.0,paired
1483.17,6.0,paired
1501.17,6.0,paired
1520.17,6.0,paired
1538.169,6.0,paired
1559.069,6.0,paired
1579.069,6.0,paired
1597.068,6.0,paired
1619.348,6.0,sound_only
